,date,eb1-row,eb1-cn,eb1-in
105,2014-11-01,2014-11-01,2014-11-01,2014-11-01
106,2014-12-01,2014-12-01,2014-12-01,2014-12-01
107,2015-01-01,2015-01-01,2015-01-01,2015-01-01
108,2015-02-01,2015-02-01,2015-02-01,2015-02-01
109,2015-03-01,2015-03-01,2015-03-01,2015-03-01
110,2015-04-01,2015-04-01,2015-04-01,2015-04-01
111,2015-05-01,2015-05-01,2015-05-01,2015-05-01
112,2015-06-01,2015-06-01,2015-06-01,2015-06-01
113,2015-07-01,2015-07-01,2015-07-01,2015-07-01
114,2015-08-01,2015-08-01,2015-08-01,2015-08-01
115,2015-09-01,2015-09-01,2015-09-01,2015-09-01
116,2015-10-01,2015-10-01,2015-10-01,2015-10-01
117,2015-11-01,2015-11-01,2015-11-01,2015-11-01
118,2015-12-01,2015-12-01,2015-12-01,2015-12-01
119,2016-01-01,2016-01-01,2016-01-01,2016-01-01
120,2016-02-01,2016-02-01,2016-02-01,2016-02-01
121,2016-03-01,2016-03-01,2016-03-01,2016-03-01
122,2016-04-01,2016-04-01,2016-04-01,2016-04-01
123,2016-05-01,2016-05-01,2016-05-01,2016-05-01
124,2016-06-01,2016-06-01,2016-06-01,2016-06-01
125,2016-07-01,2016-07-01,2016-07-01,2016-07-01
126,2016-08-01,2016-08-01,2010-01-01,2010-01-01
127,2016-09-01,2016-09-01,2010-01-01,2010-01-01
128,2016-10-01,2016-10-01,2016-10-01,2016-10-01
129,2016-11-01,2016-11-01,2016-11-01,2016-11-01
130,2016-12-01,2016-12-01,2016-12-01,2016-12-01
131,2017-01-01,2017-01-01,2017-01-01,2017-01-01
132,2017-02-01,2017-02-01,2017-02-01,2017-02-01
133,2017-03-01,2017-03-01,2017-03-01,2017-03-01
134,2017-04-01,2017-04-01,2017-04-01,2017-04-01
135,2017-05-01,2017-05-01,2017-05-01,2017-05-01
136,2017-06-01,2017-06-01,2012-01-01,2012-01-01
137,2017-07-01,2017-07-01,2012-01-01,2012-01-01
138,2017-08-01,2017-08-01,2012-01-01,2012-01-01
139,2017-09-01,2017-09-01,2012-01-01,2012-01-01
140,2017-10-01,2017-10-01,2017-10-01,2017-10-01
